Big 12,9.5338,7650,990,2110,.469,713,1351,.528,277,759,.365,508,694,.732,315,977,1292,498,275,186,457,663,2765,72.8,Horizon,-2.3935,7050,979,2048,.478,673,1203,.559,306,845,.362,483,725,.666,364,934,1298,592,218,139,441,664,2747,78.5,0
MWC,2.6834,6800,924,1999,.462,627,1144,.548,297,855,.347,578,816,.708,325,949,1274,498,211,134,352,584,2723,80.1,SEC,11.2236,7275,857,2015,.425,566,1143,.495,291,872,.334,435,603,.721,375,826,1201,437,257,131,420,614,2440,67.8,1
Big Ten,10.5537,7400,941,2102,.448,654,1263,.518,287,839,.342,406,579,.701,299,1008,1307,512,225,149,334,514,2575,69.6,Big Sky,-5.0535,7025,973,1979,.492,685,1217,.563,288,762,.378,431,625,.690,293,879,1172,508,230,104,416,656,2665,76.1,0
Big 12,9.2634,6825,869,1966,.442,595,1163,.512,274,803,.341,430,635,.677,446,834,1280,473,209,159,446,636,2442,71.8,WCC,5.0137,7400,1177,2239,.526,890,1449,.614,287,790,.363,602,791,.761,354,1089,1443,668,278,204,394,603,3243,87.6,1
ACC,10.2637,7500,960,2171,.442,688,1352,.509,272,819,.332,579,778,.744,418,973,1391,475,266,161,492,705,2771,74.9,OVC,-3.1133,6600,988,2007,.492,730,1276,.572,258,731,.353,493,674,.731,351,896,1247,591,249,149,401,527,2727,82.6,0
MAC,2.6236,7225,1083,2344,.462,739,1322,.559,344,1022,.337,527,767,.687,452,1018,1470,599,263,140,433,659,3037,84.4,Big 12,9.5338,7650,990,2110,.469,713,1351,.528,277,759,.365,508,694,.732,315,977,1292,498,275,186,457,663,2765,72.8,1
Big Ten,10.5537,7400,941,2102,.448,654,1263,.518,287,839,.342,406,579,.701,299,1008,1307,512,225,149,334,514,2575,69.6,SEC,11.2236,7275,857,2015,.425,566,1143,.495,291,872,.334,435,603,.721,375,826,1201,437,257,131,420,614,2440,67.8,0
ACC,10.2637,7500,960,2171,.442,688,1352,.509,272,819,.332,579,778,.744,418,973,1391,475,266,161,492,705,2771,74.9,WCC,5.0137,7400,1177,2239,.526,890,1449,.614,287,790,.363,602,791,.761,354,1089,1443,668,278,204,394,603,3243,87.6,1
Big 12,9.5338,7650,990,2110,.469,713,1351,.528,277,759,.365,508,694,.732,315,977,1292,498,275,186,457,663,2765,72.8,Big Ten,10.5537,7400,941,2102,.448,654,1263,.518,287,839,.342,406,579,.701,299,1008,1307,512,225,149,334,514,2575,69.6,0
WCC,5.0137,7400,1177,2239,.526,890,1449,.614,287,790,.363,602,791,.761,354,1089,1443,668,278,204,394,603,3243,87.6,Big 12,9.5338,7650,990,2110,.469,713,1351,.528,277,759,.365,508,694,.732,315,977,1292,498,275,186,457,663,2765,72.8,1
ACC,11.3636,7225,1118,2410,.464,806,1547,.521,312,863,.362,541,728,.743,477,1112,1589,677,252,120,473,611,3089,85.8,MAAC,-5.5033,6600,857,1897,.452,560,1052,.532,297,845,.351,521,699,.745,283,869,1152,432,223,90,406,564,2532,76.7,0
MWC,0.8935,7050,959,2037,.471,685,1265,.542,274,772,.355,559,747,.748,377,1026,1403,596,214,146,449,650,2753,78.7,Pac-12,7.0136,7225,883,1956,.451,610,1176,.519,273,780,.350,472,679,.695,334,795,1129,419,322,204,479,653,2511,69.8,1
SEC,10.9240,8075,1097,2439,.450,643,1235,.521,454,1204,.377,540,760,.711,457,912,1369,572,369,190,466,731,3188,79.7,WAC,-2.3835,7025,962,2092,.460,636,1115,.570,326,977,.334,484,714,.678,445,898,1343,515,197,91,419,626,2734,78.1,0
CAA,-0.7034,6925,880,1848,.476,552,990,.558,328,858,.382,476,634,.751,237,838,1075,480,211,74,381,540,2564,75.4,Big 12,12.7936,7275,989,2128,.465,729,1385,.526,260,743,.350,487,691,.705,374,1002,1376,478,243,139,472,610,2725,75.7,1
Big Ten,11.0035,7025,839,1931,.434,575,1156,.497,264,775,.341,477,650,.734,328,886,1214,494,206,85,438,624,2419,69.1,Big 12,9.3035,7000,974,2047,.476,680,1236,.550,294,811,.363,450,615,.732,327,903,1230,527,247,160,379,517,2692,76.9,0
Sun Belt,0.6534,6800,903,1968,.459,573,1109,.517,330,859,.384,462,694,.666,273,837,1110,415,269,158,391,583,2598,76.4,AAC,4.6137,7400,982,2203,.446,649,1264,.513,333,939,.355,490,697,.703,448,1054,1502,548,240,161,410,705,2787,75.3,1
Southern,0.8035,7050,1044,2132,.490,659,1203,.548,385,929,.414,406,577,.704,365,867,1232,528,233,105,377,588,2879,82.3,Big East,8.3434,6875,888,2021,.439,648,1280,.506,240,741,.324,492,697,.706,361,852,1213,459,235,132,423,638,2508,73.8,0
Southland,-7.3434,6850,897,1911,.469,646,1251,.516,251,660,.380,457,642,.712,325,785,1110,525,297,93,407,635,2502,73.6,SEC,10.2937,7450,978,2050,.477,763,1443,.529,215,607,.354,635,859,.739,427,1002,1429,501,220,176,466,600,2806,75.8,1
ACC,11.3636,7225,1118,2410,.464,806,1547,.521,312,863,.362,541,728,.743,477,1112,1589,677,252,120,473,611,3089,85.8,Pac-12,7.0136,7225,883,1956,.451,610,1176,.519,273,780,.350,472,679,.695,334,795,1129,419,322,204,479,653,2511,69.8,0
Big 12,12.7936,7275,989,2128,.465,729,1385,.526,260,743,.350,487,691,.705,374,1002,1376,478,243,139,472,610,2725,75.7,SEC,10.9240,8075,1097,2439,.450,643,1235,.521,454,1204,.377,540,760,.711,457,912,1369,572,369,190,466,731,3188,79.7,1
AAC,4.6137,7400,982,2203,.446,649,1264,.513,333,939,.355,490,697,.703,448,1054,1502,548,240,161,410,705,2787,75.3,Big Ten,11.0035,7025,839,1931,.434,575,1156,.497,264,775,.341,477,650,.734,328,886,1214,494,206,85,438,624,2419,69.1,0
Southern,0.8035,7050,1044,2132,.490,659,1203,.548,385,929,.414,406,577,.704,365,867,1232,528,233,105,377,588,2879,82.3,SEC,10.2937,7450,978,2050,.477,763,1443,.529,215,607,.354,635,859,.739,427,1002,1429,501,220,176,466,600,2806,75.8,1
SEC,10.9240,8075,1097,2439,.450,643,1235,.521,454,1204,.377,540,760,.711,457,912,1369,572,369,190,466,731,3188,79.7,ACC,11.3636,7225,1118,2410,.464,806,1547,.521,312,863,.362,541,728,.743,477,1112,1589,677,252,120,473,611,3089,85.8,0
AAC,4.6137,7400,982,2203,.446,649,1264,.513,333,939,.355,490,697,.703,448,1054,1502,548,240,161,410,705,2787,75.3,SEC,10.2937,7450,978,2050,.477,763,1443,.529,215,607,.354,635,859,.739,427,1002,1429,501,220,176,466,600,2806,75.8,1
SEC,10.9240,8075,1097,2439,.450,643,1235,.521,454,1204,.377,540,760,.711,457,912,1369,572,369,190,466,731,3188,79.7,SEC,10.2937,7450,978,2050,.477,763,1443,.529,215,607,.354,635,859,.739,427,1002,1429,501,220,176,466,600,2806,75.8,0
Big South,-4.4335,7150,955,1962,.487,674,1243,.542,281,719,.391,527,741,.711,271,919,1190,502,238,101,407,561,2718,77.7,ACC,10.1438,7675,974,2056,.474,653,1244,.525,321,812,.395,445,598,.744,342,984,1326,544,211,149,342,543,2714,71.4,1
