Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B
Strength of Schedule,Field Goals,Field Goal Attempts,Field Goal Percentage,2 Point Field Goals,2 Point Field Goal Attempts,2 Point Field Goal Percentage, 3 Point Field Goals, 3 Point Field Goals Attempts, 3 Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Points per Game,Strength of Schedule,Field Goals,Field Goal Attempts,Field Goal Percentage,2 Point Field Goals,2 Point Field Goal Attempts,2 Point Field Goal Percentage, 3 Point Field Goals, 3 Point Field Goals Attempts, 3 Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Points per Game
0.2133,947,1978,0.479,736,1419,0.519,211,559,0.377,506,716,0.707,1182,525,311,89,492,581,2611,79.1,5.6231,832,1758,0.473,543,996,0.545,289,762,0.379,535,761,0.703,1108,495,311,119,556,615,2488,80.3
2.2135,950,2004,0.474,659,1274,0.517,291,730,0.399,552,761,0.725,1301,572,289,135,501,642,2743,78.4,10.3433,801,1830,0.438,607,1267,0.479,194,563,0.345,629,891,0.706,1342,515,187,96,435,552,2425,73.5
11.433,741,1602,0.463,553,1098,0.504,188,504,0.373,547,780,0.701,1047,455,268,80,532,544,2217,73.9,8.8036,986,2111,0.467,812,1605,0.506,174,506,0.344,635,868,0.732,1451,551,287,151,523,602,2781,77.3
2.2135,950,2004,0.474,659,1274,0.517,291,730,0.399,552,761,0.725,1301,572,289,135,501,642,2743,78.4,5.6231,832,1758,0.473,543,996,0.545,289,762,0.379,535,761,0.703,1108,495,311,119,556,615,2488,80.3
2.2135,950,2004,0.474,659,1274,0.517,291,730,0.399,552,761,0.725,1301,572,289,135,501,642,2743,78.4,8.8036,986,2111,0.467,812,1605,0.506,174,506,0.344,635,868,0.732,1451,551,287,151,523,602,2781,77.3
8.8036,986,2111,0.467,812,1605,0.506,174,506,0.344,635,868,0.732,1451,551,287,151,523,602,2781,77.3,9.5136,986,2108,0.468,768,1497,0.513,218,611,0.357,505,826,0.611,1303,498,297,148,509,651,2695,74.9
10.8938,1020,2152,0.474,849,1649,0.515,171,503,0.34,514,701,0.733,1379,569,298,100,533,689,2725,71.7,10.1339,1244,2422,0.514,951,1683,0.565,293,739,0.396,800,1135,0.705,1645,633,349,245,572,713,3581,91.8
8.8036,986,2111,0.467,812,1605,0.506,174,506,0.344,635,868,0.732,1451,551,287,151,523,602,2781,77.3,10.1339,1244,2422,0.514,951,1683,0.565,293,739,0.396,800,1135,0.705,1645,633,349,245,572,713,3581,91.8
10.3838,1131,2184,0.518,946,1673,0.565,185,511,0.362,666,937,0.711,1512,699,259,188,493,533,3113,81.9,-7.493,777,1792,0.434,678,1459,0.465,99,333,0.297,479,725,0.661,1205,414,282,97,487,633,2132,71.1
0.6728,715,1641,0.436,523,1181,0.443,192,460,0.417,468,639,0.732,1034,397,169,76,354,530,2090,74.6,6.7331,816,1866,0.437,636,1341,0.474,180,525,0.343,471,665,0.708,1176,481,266,73,447,561,2283,73.6
-3.6029,684,1374,0.498,419,693,0.605,265,681,0.389,295,438,0.674,771,478,245,78,294,453,1928,66.5,5.3133,766,1815,0.422,572,1251,0.457,194,564,0.344,566,863,0.656,1267,432,196,109,450,587,2292,69.5
2.673,909,1933,0.47,699,1361,0.514,210,572,0.367,366,552,0.663,1121,473,234,110,429,600,2394,79.8,9.253,799,1779,0.449,623,1286,0.484,176,493,0.357,428,639,0.67,1197,446,229,117,461,575,2202,73.4
8.323,843,1729,0.488,696,1312,0.53,147,417,0.353,526,758,0.694,1066,463,196,114,528,509,2359,78.6,4.763,848,1752,0.484,678,1265,0.536,170,487,0.349,640,867,0.738,1103,494,354,80,509,653,2506,83.5
8.7731,739,1669,0.443,561,1135,0.494,178,534,0.333,555,802,0.692,1164,391,183,117,468,486,2211,71.3,-1.6831,771,1691,0.456,530,1086,0.488,241,605,0.398,386,553,0.698,993,438,189,97,328,449,2169,70
10.7132,879,1792,0.491,693,1303,0.532,186,489,0.38,513,702,0.731,1079,568,235,105,498,585,2457,76.8,4.1733,829,1860,0.446,647,1342,0.482,182,518,0.351,622,887,0.701,1260,477,245,139,510,651,2462,74.6
-5.383,851,1883,0.452,618,1244,0.497,233,639,0.365,576,855,0.674,1370,438,244,185,593,588,2511,83.7,7.8937,1003,2188,0.458,783,1572,0.498,220,616,0.357,610,832,0.733,1447,529,314,148,525,671,2836,76.6
10.3838,1131,2184,0.518,946,1673,0.565,185,511,0.362,666,937,0.711,1512,699,259,188,493,533,3113,81.9,6.7331,816,1866,0.437,636,1341,0.474,180,525,0.343,471,665,0.708,1176,481,266,73,447,561,2283,73.6
-3.6029,684,1374,0.498,419,693,0.605,265,681,0.389,295,438,0.674,771,478,245,78,294,453,1928,66.5,9.253,799,1779,0.449,623,1286,0.484,176,493,0.357,428,639,0.67,1197,446,229,117,461,575,2202,73.4
8.323,843,1729,0.488,696,1312,0.53,147,417,0.353,526,758,0.694,1066,463,196,114,528,509,2359,78.6,-1.6831,771,1691,0.456,530,1086,0.488,241,605,0.398,386,553,0.698,993,438,189,97,328,449,2169,70
10.7132,879,1792,0.491,693,1303,0.532,186,489,0.38,513,702,0.731,1079,568,235,105,498,585,2457,76.8,7.8937,1003,2188,0.458,783,1572,0.498,220,616,0.357,610,832,0.733,1447,529,314,148,525,671,2836,76.6
